date,value,label,category,unit,key,as_of_date
2023-05-22,3.7190001010894775,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-05-23,3.697999954223633,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-05-24,3.7190001010894775,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-05-25,3.813999891281128,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-05-26,3.809999942779541,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-05-30,3.700000047683716,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-05-31,3.63700008392334,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-01,3.6080000400543213,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-02,3.690999984741211,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-05,3.693000078201294,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-06,3.6989998817443848,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-07,3.7839999198913574,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-08,3.7139999866485596,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-09,3.744999885559082,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-12,3.765000104904175,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-13,3.8389999866485596,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-14,3.7960000038146973,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-15,3.7279999256134033,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-16,3.7690000534057617,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-20,3.7290000915527344,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-21,3.7230000495910645,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-22,3.7990000247955322,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-23,3.739000082015991,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-26,3.7190001010894775,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-27,3.7679998874664307,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-28,3.7100000381469727,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-29,3.8540000915527344,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-06-30,3.819000005722046,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-03,3.8580000400543213,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-05,3.944999933242798,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-06,4.040999889373779,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-07,4.050000190734863,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-10,4.00600004196167,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-11,3.9800000190734863,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-12,3.8610000610351562,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-13,3.760999917984009,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-14,3.819000005722046,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-17,3.796999931335449,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-18,3.7890000343322754,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-19,3.742000102996826,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-20,3.8540000915527344,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-21,3.8369998931884766,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-24,3.8570001125335693,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-25,3.9119999408721924,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-26,3.8510000705718994,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-27,4.01200008392334,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-28,3.9690001010894775,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-07-31,3.9590001106262207,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-01,4.051000118255615,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-02,4.078000068664551,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-03,4.189000129699707,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-04,4.059999942779541,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-07,4.078000068664551,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-08,4.026000022888184,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-09,4.01200008392334,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-10,4.079999923706055,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-11,4.168000221252441,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-14,4.184000015258789,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-15,4.2210001945495605,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-16,4.257999897003174,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-17,4.308000087738037,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-18,4.250999927520752,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-21,4.3420000076293945,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-22,4.328000068664551,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-23,4.197999954223633,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-24,4.235000133514404,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-25,4.238999843597412,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-28,4.211999893188477,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-29,4.122000217437744,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-30,4.118000030517578,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-08-31,4.0929999351501465,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-09-01,4.172999858856201,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-09-05,4.26800012588501,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-09-06,4.289999961853027,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-09-07,4.260000228881836,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-09-08,4.257999897003174,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-09-11,4.288000106811523,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-09-12,4.263999938964844,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-09-13,4.249000072479248,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-09-14,4.288000106811523,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
2023-09-15,4.322000026702881,UST 10Y Yield,rates,pct,ust_10y,2024-05-20
