date,value,label,category,unit,key,as_of_date
2024-12-18,4.658999919891357,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2024-12-19,4.739999771118164,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2024-12-20,4.716000080108643,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2024-12-23,4.783999919891357,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2024-12-24,4.764999866485596,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2024-12-26,4.76200008392334,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2024-12-27,4.810999870300293,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2024-12-30,4.763000011444092,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2024-12-31,4.785999774932861,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-02,4.797999858856201,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-03,4.814000129699707,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-06,4.8379998207092285,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-07,4.909999847412109,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-08,4.932000160217285,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-10,4.965000152587891,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-13,4.986000061035156,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-14,4.984000205993652,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-15,4.879000186920166,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-16,4.843999862670898,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-17,4.84499979019165,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-21,4.802000045776367,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-22,4.814000129699707,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-23,4.86899995803833,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-24,4.8480000495910645,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-27,4.769999980926514,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-28,4.789999961853027,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-29,4.789999961853027,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-30,4.757999897003174,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-01-31,4.813000202178955,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-03,4.770999908447266,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-04,4.748000144958496,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-05,4.642000198364258,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-06,4.650000095367432,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-07,4.690000057220459,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-10,4.710999965667725,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-11,4.75,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-12,4.835000038146973,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-13,4.73199987411499,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-14,4.692999839782715,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-18,4.76200008392334,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-19,4.764999866485596,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-20,4.73799991607666,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-21,4.669000148773193,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-24,4.6479997634887695,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-25,4.557000160217285,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-26,4.506999969482422,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-27,4.553999900817871,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-02-28,4.515999794006348,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-03-03,4.464000225067139,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-03-04,4.517000198364258,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-03-05,4.557000160217285,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-03-06,4.579999923706055,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
2025-03-07,4.616000175476074,UST 30Y Yield,rates,pct,ust_30y,2025-12-18
