key,label,category,unit,value,chg_1d,chg_1w,chg_1m,as_of
ust_10y,UST 10Y Yield,rates,pct,4.437,0.017,-0.044,-0.178,2024-05-20
ust_2y,UST 3M / 2Y Proxy,rates,pct,5.24,0.0,0.0,-0.005,2024-05-20
ust_30y,UST 30Y Yield,rates,pct,4.573,0.013,-0.05,-0.138,2024-05-20
vix,VIX,vol,index,12.15,0.16,-1.45,-6.56,2024-05-20
dxy,DXY Dollar Index,fx,index,104.57,0.12,-0.65,-1.58,2024-05-20
gold,Gold ($/oz),commodities,usd,2438.5,0.0087,0.0408,0.0102,2024-05-20
wti,WTI Crude ($/bbl),commodities,usd,79.8,-0.0032,0.0086,-0.0402,2024-05-20
spx,S&P 500,equity,index,5308.1299,4.8599,86.71,340.8999,2024-05-20
ndx,Nasdaq 100,equity,index,18674.1895,127.959,475.5801,1636.5391,2024-05-20
